platform,name,cold_start,mean,median,std,count
AWS Lambda,basic-http,False,470.740737475,459.883012,77.56302509632155,120
AWS Lambda,basic-http,True,805.0044623666666,796.6340184999999,85.64435260511601,30
AWS Lambda,heavy-compute,False,467.19786535833333,459.6091245,76.50500946996314,120
AWS Lambda,heavy-compute,True,811.4832789666667,793.105529,85.15672315420403,30
AWS Lambda,key-value,False,415.3285279666667,399.201717,80.4854577466306,120
AWS Lambda,key-value,True,1156.2062081333331,1115.8303975,208.8686058130257,30
AWS Lambda,light-compute,False,467.2930488083333,453.31860900000004,91.26631380553174,120
AWS Lambda,light-compute,True,779.1722524666667,766.245019,87.79495125893179,30
AWS Lambda,query-external,False,414.823050475,405.441951,80.53636649684147,120
AWS Lambda,query-external,True,878.7968733666668,836.424128,186.45223231986225,30
Fermyon Spin,basic-http,False,154.35502099166666,135.371988,76.04941352772481,120
Fermyon Spin,basic-http,True,248.70264013333332,240.6748695,77.09006604253914,30
Fermyon Spin,heavy-compute,False,149.03083681666666,129.186056,85.98950023774287,120
Fermyon Spin,heavy-compute,True,137.68311046666668,106.800449,75.16967648734874,30
Fermyon Spin,key-value,False,143.58421579166668,125.5680605,81.25040361429518,120
Fermyon Spin,key-value,True,135.6340815,100.1934835,74.08860877151817,30
Fermyon Spin,light-compute,False,143.44144488333333,129.22868,74.16636265914838,120
Fermyon Spin,light-compute,True,143.0598145,119.6110535,72.14730458687545,30
Fermyon Spin,query-external,False,147.44517083333332,125.073726,86.09258956634851,120
Fermyon Spin,query-external,True,139.09528426666665,110.50805600000001,76.40529496243482,30
